# File generated by Xml2graph the edges are represented by the vertex id (IdA, IdB)and it contains also other parameter related to the edges: 
# IdA IdB flow resistance
# Global parameters: pPerf: 13300.0 ; pTerm: 7980.0
153 211 83.3 0.20092 
1112 212 99.96 0.174278 
1112 213 24.99 0.102572 
1700 214 191.59 0.289655 
1700 215 8.33 0.0260268 
772 216 58.31 0.158221 
772 217 74.97 0.197503 
438 218 174.93 0.305679 
438 219 8.33 0.0670561 
914 220 16.66 0.0443261 
914 221 58.31 0.186606 
1890 222 608.09 0.58443 
1890 223 41.65 0.0931438 
256 224 16.66 0.0451452 
256 225 49.98 0.129829 
740 226 99.96 0.191859 
740 227 8.33 0.0502403 
75 228 83.3 0.18858 
75 229 8.33 0.00400409 
1062 230 16.66 0.0611032 
1062 231 41.65 0.126216 
416 232 2324.07 1.19155 
416 233 33.32 0.115297 
1144 234 324.87 0.398164 
1144 235 24.99 0.115846 
294 236 8.33 0.0211096 
294 237 8.33 0.0158017 
117 238 233.24 0.358417 
117 239 66.64 0.190507 
212 240 33.32 0.0572503 
212 241 66.64 0.155859 
1230 242 324.87 0.439619 
1230 243 66.64 0.138554 
1930 244 124.95 0.237293 
1930 245 16.66 0.0688359 
79 246 41.65 0.138976 
79 247 24.99 0.127437 
1710 248 49.98 0.143788 
1710 249 58.31 0.15001 
204 250 33.32 0.0955564 
204 251 91.63 0.205132 
2 252 291.55 0.410099 
2 253 24.99 0.0690781 
830 254 16.66 0.0573772 
830 255 16.66 0.0823793 
92 256 66.64 0.151473 
92 257 41.65 0.0856651 
976 258 124.95 0.20388 
976 259 16.66 0.067323 
280 260 49.98 0.104437 
280 261 49.98 0.0859076 
1978 262 433.16 0.476614 
1978 263 8.33 0.0248864 
1714 264 491.47 0.567514 
1714 265 41.65 0.125793 
106 266 458.15 0.482687 
106 267 8.33 0.0378329 
672 268 1332.8 0.896366 
672 269 108.29 0.22259 
4 270 3340.33 1.60607 
4 271 24.99 0.0688256 
872 272 41.65 0.107583 
872 273 8.33 0.0523324 
940 274 16.66 0.0452711 
940 275 8.33 0.0579167 
202 276 8.33 0.0263383 
202 277 33.32 0.0859266 
1012 278 33.32 0.115454 
1012 279 74.97 0.177468 
258 280 99.96 0.160969 
258 281 24.99 0.08415 
1748 282 16.66 0.0721554 
1748 283 58.31 0.162953 
1612 284 766.36 0.675953 
1612 285 49.98 0.157292 
464 286 2715.58 1.33111 
464 287 33.32 0.0832093 
1510 288 16.66 0.0562693 
1510 289 8.33 0.0443541 
76 290 449.82 0.496316 
76 291 41.65 0.107948 
91 292 16.66 0.0427371 
91 293 49.98 0.150462 
216 294 16.66 0.0377362 
216 295 41.65 0.158727 
1960 296 183.26 0.255579 
1960 297 8.33 0.00668215 
726 298 116.62 0.188709 
726 299 24.99 0.0824715 
686 300 74.97 0.14397 
686 301 33.32 0.0904768 
916 302 1974.21 1.12018 
916 303 49.98 0.196 
51 304 8.33 0.0380024 
51 305 41.65 0.137449 
902 306 8.33 0.0325871 
902 307 8.33 0.055606 
234 308 316.54 0.385762 
234 309 8.33 0.0162511 
1308 310 41.65 0.0897507 
1308 311 33.32 0.14796 
86 312 541.45 0.58119 
86 313 8.33 0.021913 
1170 314 8.33 0.036102 
1170 315 8.33 0.0509191 
222 316 599.76 0.567571 
222 317 8.33 0.024634 
526 318 24.99 0.0701152 
526 319 33.32 0.0894923 
94 320 1149.54 0.834042 
94 321 33.32 0.0754912 
285 322 8.33 0.0176952 
285 323 41.65 0.150805 
1992 324 91.63 0.202871 
1992 325 33.32 0.0862007 
738 326 24.99 0.0548558 
738 327 8.33 0.0700393 
996 328 66.64 0.15448 
996 329 8.33 0.0693406 
1356 330 8.33 0.0411032 
1356 331 66.64 0.15099 
10 332 3148.74 1.47879 
10 333 116.62 0.240838 
590 334 8.33 0.0293229 
590 335 8.33 0.0500803 
1874 336 8.33 0.0344408 
1874 337 91.63 0.190413 
104 338 1091.23 0.772669 
104 339 24.99 0.0921096 
50 340 16.66 0.0592921 
50 341 33.32 0.0619853 
1854 342 8.33 0.0227104 
1854 343 33.32 0.0843117 
636 344 116.62 0.229735 
636 345 24.99 0.0809824 
1174 346 183.26 0.318675 
1174 347 33.32 0.0819087 
211 348 49.98 0.12616 
211 349 33.32 0.10732 
1162 350 583.1 0.550456 
1162 351 16.66 0.0509594 
1092 352 8.33 0.0172227 
1092 353 33.32 0.140136 
43 354 174.93 0.32599 
43 355 8.33 0.0242456 
1338 356 58.31 0.164263 
1338 357 16.66 0.0453119 
620 358 458.15 0.535024 
620 359 16.66 0.077684 
1914 360 166.6 0.258006 
1914 361 8.33 0.0195981 
29 362 8.33 0.0191794 
29 363 41.65 0.121788 
1508 364 758.03 0.715617 
1508 365 16.66 0.110158 
59 366 58.31 0.13067 
59 367 8.33 0.0325176 
115 368 158.27 0.296204 
115 369 33.32 0.12682 
41 370 166.6 0.269104 
41 371 8.33 0.0112567 
442 372 41.65 0.137065 
442 373 8.33 0.0134011 
372 374 33.32 0.0636883 
372 375 8.33 0.0721567 
1424 376 16.66 0.0722679 
1424 377 8.33 0.0182339 
744 378 91.63 0.162404 
744 379 8.33 0.00305786 
57 380 16.66 0.0465337 
57 381 58.31 0.15024 
13 382 1566.04 1.00023 
13 383 8.33 0.0646551 
120 384 83.3 0.177938 
120 385 8.33 0.0573463 
1666 386 58.31 0.14535 
1666 387 8.33 0.00286087 
1172 388 24.99 0.0651943 
1172 389 8.33 0.0833748 
9 390 783.02 0.755504 
9 391 41.65 0.116279 
388 392 16.66 0.0286755 
388 393 8.33 0.0506863 
21 394 199.92 0.306477 
21 395 8.33 0.0682698 
408 396 24.99 0.0683431 
408 397 24.99 0.0873835 
170 398 99.96 0.191706 
170 399 8.33 0.00991178 
1312 400 2307.41 1.15957 
1312 401 8.33 0.0306532 
1438 402 174.93 0.257489 
1438 403 8.33 0.0541305 
942 404 16.66 0.0403146 
942 405 8.33 0.0390864 
56 406 2790.55 1.35654 
56 407 83.3 0.166912 
1042 408 49.98 0.125367 
1042 409 33.32 0.0924718 
241 410 49.98 0.123356 
241 411 16.66 0.0433528 
74 412 541.45 0.55041 
74 413 41.65 0.120907 
382 414 1524.39 0.972447 
382 415 41.65 0.118987 
72 416 2357.39 1.22262 
72 417 24.99 0.0703699 
61 418 16.66 0.0454955 
61 419 74.97 0.193148 
1820 420 8.33 0.0250192 
1820 421 99.96 0.21524 
7 422 916.3 0.778752 
7 423 33.32 0.115268 
160 424 41.65 0.122469 
160 425 8.33 0.0543813 
792 426 8.33 0.0340939 
792 427 24.99 0.0602424 
562 428 41.65 0.104159 
562 429 8.33 0.0470926 
22 430 691.39 0.622669 
22 431 8.33 0.0100411 
68 432 166.6 0.261601 
68 433 24.99 0.0689109 
124 434 3007.13 1.46341 
124 435 41.65 0.134213 
140 436 16.66 0.0197183 
140 437 8.33 0.0565559 
1082 438 183.26 0.329186 
1082 439 8.33 0.022078 
414 440 1491.07 0.958505 
414 441 33.32 0.112497 
151 442 49.98 0.159003 
151 443 41.65 0.128861 
88 444 58.31 0.135561 
88 445 8.33 0.00491361 
1750 446 24.99 0.0934717 
1750 447 8.33 0.0251679 
164 448 399.84 0.454025 
164 449 16.66 0.0799288 
866 450 316.54 0.419566 
866 451 41.65 0.105206 
111 452 41.65 0.11502 
111 453 8.33 0.00361972 
1104 454 41.65 0.101123 
1104 455 8.33 0.0417903 
1296 456 49.98 0.12423 
1296 457 8.33 0.0154079 
728 458 16.66 0.0526541 
728 459 24.99 0.053373 
1564 460 8.33 0.0315891 
1564 461 8.33 0.0410058 
96 462 66.64 0.152957 
96 463 16.66 0.0444731 
136 464 2748.9 1.34886 
136 465 8.33 0.0664062 
1414 466 74.97 0.16473 
1414 467 24.99 0.0523454 
446 468 16.66 0.036342 
446 469 8.33 0.0452995 
1452 470 16.66 0.0694544 
1452 471 8.33 0.0177517 
250 472 8.33 0.0239534 
250 473 24.99 0.0890543 
1350 474 691.39 0.573305 
1350 475 16.66 0.0652023 
132 476 3290.35 1.55032 
132 477 8.33 0.0285343 
1658 478 116.62 0.246385 
1658 479 8.33 0.0484406 
664 480 8.33 0.0337893 
664 481 33.32 0.107584 
85 482 58.31 0.151853 
85 483 8.33 0.0684878 
78 484 66.64 0.156412 
78 485 8.33 0.0270664 
698 486 16.66 0.0414887 
698 487 8.33 0.0659375 
302 488 1965.88 1.09586 
302 489 8.33 0.0391961 
1756 490 49.98 0.115927 
1756 491 8.33 0.00770998 
1650 492 33.32 0.069992 
1650 493 41.65 0.117291 
1886 494 8.33 0.0332418 
1886 495 8.33 0.04558 
134 496 108.29 0.218606 
134 497 8.33 0.0200765 
992 498 49.98 0.11941 
992 499 8.33 0.101376 
498 500 16.66 0.0237212 
498 501 33.32 0.117436 
946 502 333.2 0.424283 
946 503 8.33 0.0441495 
1450 504 49.98 0.133847 
1450 505 8.33 0.0323604 
344 506 91.63 0.200457 
344 507 24.99 0.103896 
374 508 24.99 0.0594833 
374 509 8.33 0.00488652 
422 510 891.31 0.757866 
422 511 24.99 0.0510536 
346 512 174.93 0.297341 
346 513 8.33 0.0184826 
1718 514 24.99 0.0789699 
1718 515 33.32 0.0852309 
710 516 149.94 0.287514 
710 517 16.66 0.0842135 
534 518 24.99 0.0694584 
534 519 8.33 0.0408244 
320 520 1141.21 0.807881 
320 521 8.33 0.0362776 
1302 522 16.66 0.0355449 
1302 523 24.99 0.0879249 
300 524 8.33 0.0165867 
300 525 66.64 0.137065 
36 526 58.31 0.123763 
36 527 8.33 0.0287195 
163 528 41.65 0.0927777 
163 529 8.33 0.0212363 
206 530 141.61 0.27507 
206 531 8.33 0.0105694 
1084 532 16.66 0.0404323 
1084 533 8.33 0.0423615 
305 534 33.32 0.101077 
305 535 8.33 0.0773073 
504 536 16.66 0.0500181 
504 537 33.32 0.0787207 
1168 538 24.99 0.0737843 
1168 539 8.33 0.037247 
1032 540 8.33 0.0333873 
1032 541 8.33 0.0542699 
360 542 133.28 0.229102 
360 543 33.32 0.0708436 
249 544 16.66 0.057631 
249 545 41.65 0.125936 
77 546 16.66 0.0456657 
77 547 66.64 0.161459 
1830 548 24.99 0.0356789 
1830 549 8.33 0.0497029 
462 550 49.98 0.114191 
462 551 16.66 0.0773819 
303 552 8.33 0.0307867 
303 553 41.65 0.156078 
110 554 158.27 0.289513 
110 555 8.33 0.0296705 
142 556 24.99 0.0590228 
142 557 8.33 0.00356143 
44 558 2124.15 1.2205 
44 559 33.32 0.0833134 
105 560 8.33 0.0094773 
105 561 8.33 0.0776122 
386 562 49.98 0.127901 
386 563 8.33 0.0675297 
1392 564 8.33 0.0289164 
1392 565 8.33 0.023226 
209 566 41.65 0.10453 
209 567 8.33 0.0143256 
150 568 374.85 0.475426 
150 569 24.99 0.0807394 
261 570 41.65 0.0869123 
261 571 8.33 0.00579772 
1850 572 66.64 0.15543 
1850 573 8.33 0.0457997 
71 574 8.33 0.027356 
71 575 24.99 0.0948165 
1808 576 8.33 0.0209026 
1808 577 24.99 0.0997479 
14 578 649.74 0.603167 
14 579 8.33 0.0108327 
1552 580 58.31 0.156098 
1552 581 8.33 0.0422879 
604 582 16.66 0.0574615 
604 583 33.32 0.101094 
1976 584 8.33 0.0267876 
1976 585 8.33 0.0311664 
1682 586 8.33 0.02189 
1682 587 8.33 0.0300455 
1848 588 8.33 0.0253035 
1848 589 8.33 0.0405607 
1160 590 16.66 0.0713227 
1160 591 41.65 0.142516 
423 592 8.33 0.0289069 
423 593 24.99 0.0858814 
45 594 541.45 0.607957 
45 595 8.33 0.0187975 
268 596 1324.47 0.873959 
268 597 8.33 0.0243465 
196 598 133.28 0.223519 
196 599 8.33 0.0247325 
172 600 8.33 0.0166139 
172 601 8.33 0.040781 
1418 602 8.33 0.0178274 
1418 603 49.98 0.132388 
580 604 49.98 0.128216 
580 605 8.33 0.0573925 
125 606 8.33 0.0140716 
125 607 8.33 0.075217 
257 608 33.32 0.0825175 
257 609 8.33 0.00798993 
1232 610 16.66 0.0201873 
1232 611 8.33 0.0534559 
407 612 74.97 0.152333 
407 613 8.33 0.0120012 
243 614 58.31 0.124019 
243 615 8.33 0.00220839 
1838 616 74.97 0.152468 
1838 617 8.33 0.00841403 
882 618 16.66 0.0407845 
882 619 33.32 0.101924 
748 620 474.81 0.554197 
748 621 8.33 0.0278057 
481 622 24.99 0.056944 
481 623 8.33 0.0808816 
1550 624 16.66 0.0753463 
1550 625 8.33 0.0125618 
1498 626 16.66 0.0647381 
1498 627 33.32 0.0936118 
158 628 8.33 0.030699 
158 629 8.33 0.0304495 
293 630 33.32 0.0936998 
293 631 16.66 0.0635151 
323 632 33.32 0.10406 
323 633 8.33 0.0238093 
247 634 16.66 0.0692147 
247 635 8.33 0.0475911 
1050 636 141.61 0.256775 
1050 637 8.33 0.0484133 
1582 638 49.98 0.118647 
1582 639 8.33 0.00154894 
1260 640 8.33 0.0355583 
1260 641 8.33 0.0373109 
23 642 24.99 0.0814723 
23 643 8.33 0.0604152 
906 644 8.33 0.0314376 
906 645 8.33 0.0246521 
1646 646 24.99 0.0947556 
1646 647 8.33 0.0110533 
129 648 24.99 0.0975303 
129 649 8.33 0.040604 
412 650 533.12 0.537363 
412 651 8.33 0.0134542 
776 652 741.37 0.687339 
776 653 8.33 0.0668548 
159 654 33.32 0.0936052 
159 655 8.33 0.0416448 
1942 656 8.33 0.0455369 
1942 657 8.33 0.0353922 
1938 658 8.33 0.0337134 
1938 659 16.66 0.0726455 
1224 660 8.33 0.0242535 
1224 661 8.33 0.0349509 
1896 662 33.32 0.092972 
1896 663 24.99 0.0818057 
466 664 41.65 0.12916 
466 665 33.32 0.0949345 
1216 666 274.89 0.397825 
1216 667 8.33 0.0331957 
525 668 24.99 0.0640097 
525 669 41.65 0.106615 
370 670 158.27 0.235209 
370 671 8.33 0.0586215 
98 672 1441.09 0.916024 
98 673 8.33 0.02052 
283 674 49.98 0.128766 
283 675 8.33 0.0210441 
874 676 8.33 0.0263397 
874 677 33.32 0.0901799 
1754 678 8.33 0.0239067 
1754 679 8.33 0.0619318 
5 680 3098.76 1.53666 
5 681 16.66 0.0684725 
522 682 8.33 0.0174396 
522 683 8.33 0.00499741 
89 684 108.29 0.208121 
89 685 8.33 0.0470687 
298 686 108.29 0.184628 
298 687 8.33 0.00531153 
213 688 16.66 0.0482925 
213 689 8.33 0.071336 
536 690 8.33 0.0235173 
536 691 8.33 0.0224957 
186 692 16.66 0.0648924 
186 693 8.33 0.00317383 
54 694 24.99 0.0616358 
54 695 8.33 0.0625277 
353 696 24.99 0.07571 
353 697 8.33 0.0585275 
1522 698 24.99 0.085398 
1522 699 8.33 0.0473375 
183 700 24.99 0.0855975 
183 701 8.33 0.00236054 
512 702 141.61 0.274505 
512 703 33.32 0.117409 
1292 704 16.66 0.0523939 
1292 705 8.33 0.0338304 
240 706 8.33 0.00921287 
240 707 24.99 0.0498834 
171 708 16.66 0.0599544 
171 709 33.32 0.0868503 
354 710 166.6 0.309581 
354 711 8.33 0.0647786 
708 712 8.33 0.0168936 
708 713 8.33 0.0391969 
1046 714 374.85 0.423338 
1046 715 8.33 0.0290589 
1662 716 8.33 0.0333965 
1662 717 8.33 0.0287776 
17 718 1357.79 0.940721 
17 719 8.33 0.0588814 
95 720 141.61 0.254967 
95 721 8.33 0.0158654 
295 722 24.99 0.0898642 
295 723 16.66 0.0660683 
834 724 8.33 0.0262667 
834 725 8.33 0.0419293 
956 726 141.61 0.227467 
956 727 33.32 0.0757573 
456 728 41.65 0.092488 
456 729 8.33 0.0370421 
84 730 791.35 0.669877 
84 731 16.66 0.0640821 
680 732 3065.44 1.51861 
680 733 33.32 0.0881854 
486 734 8.33 0.0182145 
486 735 8.33 0.0270456 
242 736 316.54 0.421406 
242 737 8.33 0.0372405 
70 738 33.32 0.095597 
70 739 8.33 0.033773 
20 740 108.29 0.223847 
20 741 8.33 0.0278125 
114 742 233.24 0.353078 
114 743 16.66 0.0477385 
684 744 99.96 0.178078 
684 745 8.33 0.0794192 
545 746 16.66 0.0491988 
545 747 24.99 0.0992647 
264 748 483.14 0.560289 
264 749 8.33 0.0420511 
424 750 8.33 0.0268116 
424 751 33.32 0.102724 
87 752 33.32 0.0862325 
87 753 8.33 0.0143207 
1258 754 8.33 0.0344479 
1258 755 8.33 0.0397922 
862 756 8.33 0.0281068 
862 757 8.33 0.040538 
840 758 499.8 0.532248 
840 759 8.33 0.0194985 
1792 760 8.33 0.0311984 
