# Mean Variance nbElements 
0 1.61005 0.0  1 
1 1.191839 0.11015163588099999  2 
2 0.8626530000000001 0.1342661735995  4 
3 0.6352380000000001 0.11482160688999998  8 
4 0.5153074999999999 0.08511047648439284  14 
5 0.4178522727272727 0.06629270595428925  22 
6 0.43366840909090915 0.060141398396423566  22 
7 0.41835646153846157 0.046843700264402384  26 
8 0.39083840000000003 0.04079402347210667  30 
9 0.4018839285714287 0.037785710841137764  28 
10 0.3820658333333334 0.03417677808260556  30 
11 0.3963142857142857 0.027267746851775514  28 
12 0.37999940000000004 0.02245514870677334  30 
13 0.36647187500000006 0.017848375091421873  32 
14 0.3821840384615385 0.013185099518806214  26 
15 0.34546456666666664 0.01051176233131222  30 
16 0.35780675 0.0092169988463875  20 
17 0.333943 0.006979794693300001  20 
18 0.35237783333333333 0.003619880607138889  12 
19 0.3212912 0.00292795235416  10 
20 0.29545525 0.0018759306366875003  4 
21 nan nan  0 
