
0 0.04
5 0.03
10 0.04
15 0.05
20 0.07
25 0.08
30 0.09
35 0.11
40 0.12
45 0.13
50 0.15
55 0.16
60 0.18
65 0.20
70 0.22
75 0.23
80 0.23
85 0.25
90 0.27
95 0.29
100 0.31
105 0.32
110 0.33
115 0.35
120 0.37
125 0.40
130 0.41
135 0.44
140 0.46
145 0.48
150 0.49
155 0.51
160 0.55
165 0.57
170 0.59
175 0.61
180 0.61
185 0.63
190 0.67
195 0.70
200 0.75
205 0.75
210 0.77
215 0.77
220 0.81
225 0.83
230 0.85
235 0.87
240 0.92
245 0.92
250 0.95
255 0.97
260 0.99
265 1.04
270 1.06
275 1.09
280 1.13
285 1.15
290 1.16
295 1.20
300 1.25
305 1.26
310 1.30
315 1.33
320 1.36
325 1.41
330 1.41
335 1.44
340 1.48
345 1.53
350 1.54
355 1.58
360 1.60
365 1.64
370 1.67
375 1.71
380 1.74
385 1.81
390 1.84
395 1.89
400 1.88
405 1.94
410 1.97
415 2.02
420 2.02
425 2.02
430 2.10
435 2.15
440 2.19
445 2.23
450 2.27
455 2.32
460 2.37
465 2.41
470 2.46
475 2.50
480 2.53
485 2.55
490 2.62
495 2.64
500 2.70
505 2.70
510 2.80
515 2.84
520 2.91
525 2.94
530 3.00
535 3.02
540 3.07
545 3.18
550 3.12
555 3.20
560 3.22
565 3.27
570 3.35
575 3.41
580 3.43
585 3.48
590 3.57
595 3.56
600 3.65
605 3.69
610 3.70
615 3.81
620 3.89
625 3.94
630 3.94
635 4.02
640 4.08
645 4.09
650 4.11
655 4.20
660 4.24
665 4.31
670 4.38
675 4.48
680 4.47
685 4.62
690 4.66
695 4.75
700 4.70
705 4.82
710 4.83
715 4.92
720 4.93
725 5.00
730 5.10
735 5.13
740 5.24
745 5.30
750 5.37
755 5.45
760 5.51
765 5.52
770 5.69
775 5.60
780 5.77
785 5.85
790 5.82
795 5.88
800 6.04
805 6.09
810 6.09
815 6.24
820 6.30
825 6.25
830 6.49
835 6.47
840 6.65
845 6.74
850 6.73
855 6.87
860 6.88
865 6.84
870 6.98
875 7.04
880 7.17
885 7.20
890 7.27
895 7.27
900 7.41
905 7.60
910 7.74
915 7.58
920 7.73
925 7.76
930 7.82
935 7.95
940 8.09
945 8.01
950 8.17
955 8.33
960 8.39
965 8.41
970 8.48
975 8.47
980 8.47
985 8.63
990 8.84
995 8.95
