
5 0.04
10 0.04
15 0.05
20 0.07
25 0.08
30 0.09
35 0.11
40 0.11
45 0.13
50 0.14
55 0.16
60 0.17
65 0.19
70 0.20
75 0.22
80 0.24
85 0.26
90 0.27
95 0.28
100 0.30
105 0.32
110 0.34
115 0.36
120 0.38
125 0.40
130 0.41
135 0.43
140 0.45
145 0.46
150 0.48
155 0.50
160 0.51
165 0.54
170 0.57
175 0.59
180 0.61
185 0.62
190 0.65
195 0.69
200 0.70
205 0.73
210 0.75
215 0.78
220 0.79
225 0.82
230 0.83
235 0.86
240 0.90
245 0.93
250 0.94
255 0.98
260 1.00
265 1.04
270 1.07
275 1.09
280 1.12
285 1.14
290 1.18
295 1.18
300 1.26
305 1.27
310 1.28
315 1.34
320 1.33
325 1.39
330 1.43
335 1.43
340 1.47
345 1.53
350 1.56
355 1.55
360 1.59
365 1.64
370 1.67
375 1.69
380 1.72
385 1.78
390 1.81
395 1.85
400 1.88
405 1.89
410 1.99
415 1.99
420 2.07
425 2.10
430 2.12
435 2.17
440 2.21
445 2.22
450 2.28
455 2.32
460 2.37
465 2.37
470 2.44
475 2.46
480 2.49
485 2.57
490 2.60
495 2.64
500 2.72
505 2.76
510 2.78
515 2.81
520 2.88
525 2.93
530 2.92
535 3.02
540 3.07
545 3.10
550 3.18
555 3.19
560 3.22
565 3.34
570 3.32
575 3.41
580 3.43
585 3.50
590 3.49
595 3.58
600 3.66
605 3.69
610 3.78
615 3.80
620 3.83
625 3.87
630 3.87
635 4.14
640 4.06
645 4.09
650 4.17
655 4.23
660 4.29
665 4.30
670 4.44
675 4.43
680 4.53
685 4.59
690 4.62
695 4.70
700 4.78
705 4.81
710 4.90
715 4.95
720 4.97
725 5.04
730 5.11
735 5.16
740 5.13
745 5.22
750 5.39
755 5.41
760 5.58
765 5.57
770 5.65
775 5.66
780 5.72
785 5.78
790 5.79
795 5.95
800 6.02
805 6.12
810 6.14
815 6.22
820 6.18
825 6.29
830 6.25
835 6.50
840 6.51
845 6.50
850 6.66
855 6.72
860 6.80
865 6.90
870 6.93
875 7.04
880 7.09
885 7.21
890 7.18
895 7.28
900 7.41
905 7.43
910 7.46
915 7.61
920 7.68
925 7.88
930 7.91
935 7.95
940 8.00
945 8.05
950 8.11
955 8.07
960 8.15
965 8.38
970 8.56
975 8.50
980 8.60
985 8.78
990 8.78
995 8.90
