
5 0.08
10 0.06
15 0.07
20 0.07
25 0.07
30 0.08
35 0.08
40 0.09
45 0.09
50 0.10
55 0.11
60 0.10
65 0.11
70 0.13
75 0.12
80 0.13
85 0.13
90 0.14
95 0.15
100 0.16
105 0.17
110 0.17
115 0.17
120 0.17
125 0.18
130 0.19
135 0.20
140 0.21
145 0.21
150 0.22
155 0.23
160 0.24
165 0.25
170 0.26
175 0.26
180 0.25
185 0.26
190 0.26
195 0.27
200 0.30
205 0.31
210 0.31
215 0.31
220 0.32
225 0.34
230 0.35
235 0.35
240 0.38
245 0.39
250 0.36
255 0.37
260 0.39
265 0.37
270 0.37
275 0.41
280 0.41
285 0.42
290 0.42
295 0.42
300 0.45
305 0.45
310 0.47
315 0.48
320 0.47
325 0.45
330 0.46
335 0.51
340 0.52
345 0.49
350 0.53
355 0.52
360 0.53
365 0.57
370 0.58
375 0.60
380 0.60
385 0.58
390 0.58
395 0.64
400 0.65
405 0.66
410 0.64
415 0.70
420 0.71
425 0.66
430 0.68
435 0.71
440 0.72
445 0.72
450 0.74
455 0.76
460 0.79
465 0.80
470 0.78
475 0.80
480 0.82
485 0.81
490 0.86
495 0.86
500 0.87
505 0.88
510 0.89
515 0.89
520 0.89
525 0.91
530 0.90
535 0.92
540 0.94
545 0.97
550 0.99
555 0.98
560 1.05
565 0.97
570 1.00
575 1.05
580 1.07
585 1.06
590 1.06
595 1.10
600 1.11
605 1.17
610 1.17
615 1.12
620 1.18
625 1.15
630 1.21
635 1.20
640 1.22
645 1.29
650 1.26
655 1.33
660 1.31
665 1.39
670 1.31
675 1.38
680 1.26
685 1.36
690 1.35
695 1.31
700 1.39
705 1.47
710 1.44
715 1.44
720 1.58
725 1.43
730 1.52
735 1.55
740 1.52
745 1.51
750 1.50
755 1.52
760 1.57
765 1.54
770 1.65
775 1.69
780 1.73
785 1.63
790 1.64
795 1.82
800 1.73
805 1.78
810 1.70
815 1.85
820 1.66
825 1.81
830 1.79
835 1.71
840 1.84
845 1.80
850 1.88
855 2.03
860 1.85
865 2.03
870 1.84
875 1.94
880 2.00
885 1.98
890 2.12
895 2.01
900 2.01
905 2.11
910 2.17
915 1.95
920 2.10
925 2.12
930 2.10
935 2.36
940 2.33
945 2.15
950 2.18
955 2.29
960 2.30
965 2.23
970 2.41
975 2.28
980 2.59
985 2.40
990 2.36
995 2.46
